,localx_X,localy_X,vel_X,acc_X,laneID_X,dzone_X,int_X,section_X,direction_X,movement_X,space_headway_X,localy_Y,vel_Y,acc_Y,laneID_Y,dzone_Y,int_Y,section_Y,direction_Y,movement_Y,space_headway_Y,relative_x,relative_y,relative_distance,num_lanes,duration
0,-21.581999999999997,1568.838,52.17,0.0,2.0,201.0,4.0,0.0,4.0,1.0,141.85,1451.089,51.3,-13.99,3.0,201.0,0.0,4.0,4.0,1.0,76.94,1.0499999994730078,36.454573170730576,36.46969159533767,3.0,7300.0
1,71.84100000000002,446.091,0.0,0.0,2.0,211.0,0.0,0.0,3.0,1.0,0.0,387.964,38.27,-3.96,2.0,208.0,2.0,0.0,2.0,1.0,0.0,21.973780487243815,7.079268292674409,23.08599290611609,3.0,5200.0
2,48.925,444.066,0.0,0.0,0.0,211.0,2.0,0.0,3.0,1.0,0.0,418.463,38.33,1.54,2.0,208.0,2.0,0.0,2.0,1.0,0.0,11.632317072916322,1.8820121951781716,11.783580541909151,3.0,4600.0
3,18.327,40.53,38.59,0.0,2.0,203.0,1.0,0.0,2.0,1.0,193.88,107.493,40.53,-0.79,3.0,208.0,0.0,2.0,2.0,1.0,62.64,-10.459451219521283,-17.95000000004998,20.77504800994066,3.0,9800.0
4,49.855,60.078,6.47,0.0,0.0,208.0,1.0,0.0,2.0,3.0,0.0,31.12,0.0,0.0,1.0,201.0,0.0,0.0,2.0,1.0,0.0,6.010670731945827,7.483231707365342,9.598276899214161,3.0,6200.0
5,37.33,356.416,50.18,-8.93,3.0,205.0,2.0,0.0,2.0,1.0,0.0,446.091,0.0,0.0,2.0,211.0,0.0,0.0,3.0,1.0,0.0,-23.35975609731111,-17.268597560994348,29.049658632236,3.0,6100.0
6,35.36400000000001,373.32599999999996,40.84,6.85,3.0,205.0,2.0,0.0,2.0,1.0,0.0,444.066,0.0,0.0,0.0,211.0,2.0,0.0,3.0,1.0,0.0,-15.011585365253975,-16.038109756091885,21.96744545291412,3.0,5900.0
7,53.448,55.93600000000001,9.59,0.0,3.0,208.0,0.0,0.0,2.0,1.0,0.0,134.41899999999998,33.5,8.77,3.0,208.0,0.0,2.0,2.0,1.0,335.17,-2.9612804887952597,-25.201829268296088,25.375211932152705,3.0,2500.0
8,40.472,308.769,50.17,-12.87,3.0,208.0,0.0,2.0,2.0,1.0,68.64,446.091,0.0,0.0,2.0,211.0,0.0,0.0,3.0,1.0,0.0,-28.311280486821317,-29.560365853618215,40.930964222740066,3.0,6900.0
9,48.925,444.066,0.0,0.0,0.0,211.0,2.0,0.0,3.0,1.0,0.0,313.515,45.97,-15.8,3.0,208.0,0.0,2.0,2.0,1.0,68.04,21.374390243336833,31.423475609796988,38.0039389757688,3.0,6900.0
10,38.285,142.789,40.26,1.61,4.0,203.0,0.0,2.0,2.0,1.0,0.0,44.153,44.04,0.0,2.0,208.0,1.0,0.0,2.0,1.0,299.26,18.184451219943785,25.18292682929669,31.062100216505414,3.0,10100.0
11,-41.556000000000004,797.8380000000003,51.71,3.47,3.0,201.0,0.0,3.0,4.0,1.0,0.0,640.89,51.3,0.16,2.0,208.0,0.0,3.0,2.0,1.0,0.0,3.416463414706836,49.27347560971125,49.39177685531103,3.0,2800.0
12,14.582,671.803,51.31,1.65,2.0,208.0,0.0,3.0,2.0,1.0,0.0,829.0889999999997,51.75,-0.28,3.0,201.0,0.0,3.0,4.0,1.0,70.53,-3.1179878042965403,-49.5862804877816,49.68421339380036,3.0,2900.0
13,-14.472000000000001,1485.504,51.35,15.84,2.0,201.0,0.0,4.0,4.0,1.0,110.59,1614.743,52.79,0.0,3.0,201.0,0.0,5.0,4.0,1.0,278.11,7.67195121947358,-35.93658536584571,36.746387622060176,3.0,6300.0
14,-45.233999999999995,752.075,51.3,-13.39,3.0,201.0,0.0,3.0,4.0,1.0,0.0,609.012,40.57,0.0,3.0,205.0,0.0,3.0,2.0,1.0,0.0,-0.4435975607143852,48.58597560974531,48.58800062511976,3.0,3100.0
15,17.377,35.42800000000001,36.97,0.0,2.0,208.0,1.0,0.0,2.0,1.0,117.88,153.30700000000004,39.99,-0.04,2.0,208.0,0.0,2.0,2.0,1.0,0.0,-15.222256097420145,-32.76249999996763,36.126146859903606,3.0,15900.0
16,-15.902000000000001,946.5160000000001,51.32,0.0,2.0,201.0,0.0,3.0,4.0,1.0,102.94,789.529,51.85,12.74,3.0,201.0,0.0,3.0,4.0,1.0,70.66,23.25975609682046,43.27652439029274,49.131189859265355,3.0,2800.0
17,29.829,283.866,47.51,-9.96,2.0,208.0,0.0,2.0,2.0,1.0,251.88,446.091,0.0,0.0,2.0,211.0,0.0,0.0,3.0,1.0,0.0,-34.446951218528625,-35.03292682928476,49.131440142516794,3.0,6500.0
18,14.142000000000001,697.429,51.29,0.7,2.0,208.0,0.0,3.0,2.0,1.0,0.0,853.174,48.84,3.8,2.0,201.0,0.0,3.0,4.0,1.0,0.0,-5.838414633975978,-48.520121951204175,48.870127067544544,3.0,3100.0
19,-14.332,1492.1029999999994,51.3,15.84,2.0,201.0,4.0,0.0,4.0,1.0,109.04,1624.668,51.39,0.0,1.0,203.0,0.0,5.0,4.0,1.0,0.0,1.887195122360093,-38.85152439023198,38.89733220768039,3.0,6900.0
20,29.831,278.9,51.3,-13.88,2.0,208.0,0.0,2.0,2.0,1.0,252.45,444.066,0.0,0.0,0.0,211.0,2.0,0.0,3.0,1.0,0.0,-28.858841463310146,-39.6170731707726,49.013724784215476,3.0,6700.0
21,-45.631,769.1110000000001,51.52,-15.84,3.0,201.0,0.0,3.0,4.0,1.0,66.8,645.499,40.72,2.64,3.0,205.0,0.0,3.0,2.0,1.0,0.0,-3.584756097676823,42.71249999994947,42.862665952149015,3.0,2800.0
22,-45.091,724.378,51.3,-0.27,3.0,201.0,0.0,3.0,4.0,1.0,0.0,580.58,40.37,-11.24,3.0,208.0,0.0,3.0,2.0,1.0,48.72,-0.4631097564791761,48.870426829245574,48.872621058412584,3.0,3400.0
