,localx_X,localy_X,vel_X,acc_X,laneID_X,localy_Y,vel_Y,acc_Y,laneID_Y,relative_x,relative_y,relative_distance,num_lanes,duration,direction_X__1.0,direction_X__2.0,direction_X__3.0,direction_X__4.0,direction_Y__1.0,direction_Y__2.0,direction_Y__3.0,direction_Y__4.0,movement_X__1.0,movement_X__2.0,movement_X__3.0,movement_Y__1.0,movement_Y__2.0,movement_Y__3.0,exit_X__201.0,exit_X__203.0,exit_X__204.0,exit_X__205.0,exit_X__206.0,exit_X__207.0,exit_X__208.0,exit_X__209.0,exit_X__210.0,exit_X__211.0,exit_Y__201.0,exit_Y__203.0,exit_Y__204.0,exit_Y__205.0,exit_Y__206.0,exit_Y__207.0,exit_Y__208.0,exit_Y__209.0,exit_Y__210.0,exit_Y__211.0,int_X__0.0,int_X__1.0,int_X__2.0,int_X__3.0,int_X__4.0,int_Y__0.0,int_Y__1.0,int_Y__2.0,int_Y__3.0,int_Y__4.0,section_X__0.0,section_X__1.0,section_X__2.0,section_X__3.0,section_X__4.0,section_X__5.0,section_Y__0.0,section_Y__1.0,section_Y__2.0,section_Y__3.0,section_Y__4.0,section_Y__5.0,distance_x_toexit,distance_y_toexit,range,zero_to_10,ten_to_30,thirty_plus
9,38.285,142.789,40.26,1.61,4,44.153,44.04,0.0,2,18.18445122,25.18292683,31.06210022,3,10100,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,240.5756077,1569.155018,50,0,1,0
14,17.377,35.428000000000004,36.97,0.0,2,153.30700000000002,39.99,-0.04,2,-15.2222561,-32.7625,36.12614686,3,15900,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1578.0274630000001,1460.11509,50,0,1,0
38,49.052,274.343,34.8,10.31,4,444.066,0.0,0.0,0,-24.22530488,-43.54939024,49.83387189,3,11600,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,117.23660929999998,142.11792649999998,50,0,1,0
39,71.84100000000001,446.091,0.0,0.0,2,277.918,37.01,9.83,4,29.99207317,39.29603659,49.43382389,3,11500,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,165.0466694,113.9723256,50,0,1,0
54,71.84100000000001,446.091,0.0,0.0,2,444.066,0.0,0.0,0,6.237195122,-3.207926829,7.013800505,3,19100,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,165.0466694,142.11792649999998,50,0,1,0
55,31.083000000000002,278.721,38.36,-9.09,2,444.066,0.0,0.0,0,-28.592987800000003,-39.95182927,49.1294984,3,11400,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1337.10475,142.11792649999998,50,0,1,0
63,71.84100000000001,446.091,0.0,0.0,2,282.452,37.7,0.72,2,34.37957317,35.73323171,49.586479,3,13600,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,165.0466694,1333.4937300000001,50,0,1,0
64,-45.511,550.076,27.46,0.82,3,446.091,0.0,0.0,2,-16.73323171,45.98780488,48.93750342,3,10800,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,532.5455853999999,165.0466694,50,0,1,0
65,55.512,429.95300000000003,0.0,0.0,1,446.091,0.0,0.0,2,-6.836280487000001,-1.502439024,6.999432400000001,3,10000,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,406.5893577,165.0466694,50,0,1,0
79,21.779,63.968999999999994,24.84,8.58,0,61.7,26.27,0.0,2,-7.577743902999999,3.8295731710000003,8.490455425,3,12500,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1549.545472,316.6140769,50,0,1,0
